,message
1972,"neat, i have a blog.whenassistant i have more than one thought in my head i guess i'll post it.i've got a lot on my mind, but not enough to say."
1973,i'm relatively new to theassistant blogging scene and so far i have been pleasantly surprised with the vast amount of resources that i have found online.
1974,i'm about to explore theassistant house
1975,just found an old buddyassistant of mine
1976,want to see hot mulliganassistant in action?
1977,"only got a gallon inassistant the tank, i'm low"
1978,that is what matt toldassistant me...
1979,i think i got aassistant cold.
1980,nobody sees you until youassistant see yourself.
1981,"as the tornados went by,assistant the rain fell and the thunder boomed, my mind wandered to the last time i saw him.the last time i spoke to him, i was left with the words ""you don't deserve me"" and the thought that i would never deserve him."
1982,exotic performance cars. rock nassistant roll.
1983,"had an enjoyable time yesterdayassistant at the museum of science and technology for their open house event.it was interesting to see the new exhibit on the human body, which had a lot of interactive stuff and a large section dedicated to the brain."
1984,it's so freaking cold andassistant wet
1985,"if you're going to blameassistant the devil for everything wrong in your life, at least get his number and address."
1986,"hi everyone!i had my transplantassistant today.it went really well.i'm still waiting to see how i'm going to feel, though.i'll be sure to update you when i get a chance."
1987,how does columbus ensure noassistant more snow days
1988,"chilling in your sports bra,assistant and ugg boots"
1989,fire dept responding to 5thassistant and b
1990,"lemme put u in aassistant body bag, put a tag on it and take u to a casket"
1991,my sister wants to goassistant to the gym...
1992,tho they're in china rightassistant now
1993,"...eyes, it's the only thingassistant that i can't hide."
1994,i came out this bitchassistant w the money on my mind
1995,should i stay with verizonassistant or switch to at&t
1996,face-to-face communication safe time forassistant some face-to-face communication
1997,"into the world is bornassistant a little baby, who is a new creation in christ!"
1998,there is a difference betweenassistant being humble and being selfless.
1999,"hey fellow parents. does anyoneassistant know where i can find the ""i'm a mom"" stickers? i'm looking for them for my daughter's school supplies."
2000,"i'm generally a very bluntassistant person, i like to say what i mean and mean what i say.i don't see any point in beating around the bush and telling people what they want to hear, if i don't like them, i'll tell them."
2001,"pence in contrast seems harried,assistant tired, and out of his depth."
2002,"right now, i can't sleep.i'massistant not sure why, maybe because of the fact that i have to go to school tomorrow, or maybe because of the fact that i'm in a new place."
2003,"interview didn't go too badly.jobassistant seems like it would be a bit of a bitch, but the pay is good and it's the kind of work i like, so i guess i'll take it."
2004,how are you feeling rightassistant now?
2005,good news alert #1: theassistant household budget has been balanced.
2006,"okay.on the strength of myassistant reputation and the fact that i am now blogging from the office, i have been given permission to put a link to my blog on the office website."
2007,headache and stomach ache >.<assistant bleh.
2008,"i should be walking throughassistant the doors to my apartment, but instead i'm walking into the sun."
2009,off to dance practice...still sore!assistant ugh
2010,unhappy with ya riches causeassistant you ain't got no friends
2011,. just a few piecesassistant of advice
2012,you have the nerve toassistant say that you don't care when you're so sensitive.
2013,i'm off to block islandassistant for a few days...
2014,"this morning, i was havingassistant a really shitty day.i was feeling very angry and bitter, and i was being really mean to people, and not even noticing.i felt so awful."
2015,"friday my best friend inassistant the world came home from work.i had a whole day to kill before she got home so i did what i do best, i shopped."
2016,this anthony gordon dude hasassistant some serious wheels.
2017,i'm going to start anassistant art blog.
2018,i'm wearing my gloves fromassistant the 90s
2019,"with the use of zoom,assistant we can make the video calls more productive, and we can also save time and resources."
2020,grass still growing in wi.assistant today
2021,"-- an excerpt from theassistant book: the great game by george macdonald fraser ""in the world of spycraft, the word 'friend' is an oxymoron."""
2022,"""sometimes i wish i wasassistant the man you could tell your friends about."""
2023,beyonce video is da devil..assistant that bitch is crazy
2024,"so...i'm sick.chris has been sick,assistant i'm sick, it's a whole sickness thing around here.ugh.hopefully it's not contagious...and hopefully it's just a cold.ugh.i don't know how long i'll be sick."
2025,"hey guys my internet isassistant working again yay!i'm so happy!it was really frustrating because i couldn't access my e-mail, and i was getting worried that my computer was going to die on me."
2026,let me just chill outassistant before i snap
2027,that jerk chicken was justassistant right
2028,what if i was reallyassistant a girl?
2029,the financial aid part ofassistant the fafsa was the most time consuming part
